Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89,agent-90,agent-91,agent-92,agent-93,agent-94,agent-95,agent-96,agent-97,agent-98,agent-99
0,0,8,12,4,39,39,44,1,10,34,9,15,30,35,12,43,22,10,35,12,36,42,19,44,12,45,35,22,16,37,49,10,30,1,40,11,18,1,11,43,1,11,20,32,7,25,41,46,45,42,34,30,11,19,21,26,22,39,16,22,41,30,41,23,38,22,40,42,34,10,33,23,35,39,24,23,38,33,36,48,4,13,2,38,30,34,17,29,33,32,43,45,46,31,9,44,38,1,14,12,19
0,1,8,12,4,39,39,44,1,10,34,9,15,30,35,12,43,22,10,35,12,36,42,19,40,15,45,33,22,16,36,45,14,39,8,47,16,17,1,11,43,1,11,20,32,7,25,41,46,45,42,34,30,11,19,21,26,22,39,16,22,41,30,46,25,33,21,42,44,26,10,33,23,35,39,24,23,38,33,36,48,4,13,2,27,32,33,17,29,33,32,43,45,46,37,9,44,38,5,14,14,19
0,2,8,12,4,39,39,48,46,30,30,9,36,30,35,12,43,22,10,35,12,37,40,19,40,15,45,33,22,16,36,45,14,39,8,47,16,17,1,11,43,1,11,20,32,7,25,41,46,45,42,34,30,11,19,29,26,22,39,14,22,41,30,46,25,33,21,42,44,26,10,33,23,35,39,24,23,38,33,39,48,8,13,2,27,32,33,17,29,33,32,46,45,46,37,9,44,30,5,14,14,13
0,3,8,2,4,39,39,48,46,30,30,9,36,30,35,12,43,22,10,33,15,37,40,19,40,15,45,33,22,16,36,45,14,39,8,47,16,17,1,11,43,1,11,20,32,7,25,41,46,45,42,36,30,11,19,29,26,22,39,16,22,41,30,46,25,33,21,42,44,26,10,33,23,35,39,24,20,38,35,39,48,8,13,2,27,32,33,17,29,33,32,46,45,46,37,9,44,30,5,14,14,13
0,4,8,2,4,39,39,48,46,30,30,9,36,30,35,12,43,22,10,33,15,37,40,19,40,15,45,33,22,16,36,45,14,39,8,47,16,17,1,11,43,1,11,20,32,7,5,41,46,45,42,36,30,11,19,29,26,22,39,16,22,41,30,46,25,33,21,42,44,26,10,33,23,35,39,24,20,38,35,39,48,8,13,2,27,32,33,17,29,33,32,46,45,46,37,1,44,30,5,14,14,13
0,5,8,2,4,39,39,48,46,30,30,9,36,30,35,12,43,22,10,33,15,37,40,19,40,15,45,33,22,16,36,45,14,39,8,49,15,17,1,11,43,1,11,20,32,7,5,41,46,45,42,36,30,11,19,29,26,22,39,16,22,41,30,46,25,33,21,42,44,26,12,33,23,35,39,24,20,38,35,39,48,8,13,2,27,32,34,17,29,33,32,46,45,46,37,1,44,30,5,14,12,13
0,6,8,2,4,39,39,48,46,30,30,9,36,30,35,12,43,22,10,33,15,37,40,19,40,15,45,33,22,16,36,45,14,39,8,49,15,17,1,11,43,1,11,20,32,7,5,43,46,45,42,36,30,11,19,29,26,22,39,16,22,41,30,46,25,33,21,42,44,26,12,33,23,35,39,24,20,38,35,39,48,8,13,2,27,32,34,17,29,33,32,46,45,46,37,1,44,30,5,14,12,13
0,7,8,2,4,39,39,48,46,30,30,9,36,30,35,12,43,22,10,33,15,37,40,17,44,15,45,33,22,16,36,45,14,39,8,49,15,17,1,11,43,1,11,20,32,7,5,43,46,45,42,36,30,11,19,29,26,22,39,16,22,41,30,41,25,33,21,42,44,26,12,33,23,35,39,24,20,38,35,39,48,8,13,2,27,32,34,17,29,33,32,46,45,46,37,1,44,30,5,14,12,13
0,8,8,2,4,39,39,48,46,30,30,9,36,30,35,12,43,22,10,33,15,37,40,17,44,15,45,33,32,16,36,45,14,39,8,49,15,17,1,11,43,1,11,20,38,7,5,43,46,45,42,36,30,11,19,29,26,22,39,16,22,41,30,41,25,33,21,42,44,26,12,33,23,35,39,24,20,38,35,39,48,8,13,2,27,32,34,17,29,33,32,46,45,46,37,1,44,30,5,14,12,13
0,9,8,2,4,39,39,48,46,30,30,9,36,30,35,12,43,22,10,33,15,37,40,17,44,15,45,33,32,16,36,45,14,39,2,49,15,17,1,11,43,1,11,20,38,7,5,43,46,45,42,36,30,11,19,29,26,22,39,16,22,41,30,41,25,33,21,42,44,26,12,33,23,35,39,24,20,38,35,39,48,8,13,2,27,32,34,17,29,33,32,46,45,46,37,1,44,30,5,14,12,13
