Unfairness weight,Local cost weight,Global cost weight
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002
0.0,0.85,0.15000000000000002

